year,mileage,trim,is_amg,is_wagon,is_coupe,is_cabriolet,is_sedan,is_manual,price
1995.0,42000.0,C220,0,0,0,0,1,0,605004142020
2005.0,37500.0,C55,1,0,0,0,1,0,975003202020
1999.0,30500.0,C43,1,0,0,0,1,0,1200003162020
1997.0,30500.0,C36,1,0,0,0,1,0,675002182020
2009.0,20000.0,C63,1,0,0,0,1,0,3050002132020
2012.0,8500.0,C63,1,0,1,0,0,0,7400001242020
1999.0,48000.0,C280,0,0,0,0,1,0,700201102020
1998.0,22000.0,C43,1,0,0,0,1,0,1550001092020
2002.0,30500.0,C32,1,0,0,0,1,0,1000012262019
1995.0,33000.0,C36,1,0,0,0,1,0,1330012192019
1999.0,30500.0,C43,1,0,0,0,1,0,1025011142019
1996.0,30500.0,C36,1,0,0,0,1,0,503610252019
1999.0,30500.0,C43,1,0,0,0,1,0,1000010232019
2002.0,30500.0,C32,1,0,0,0,1,0,1225007312019
1997.0,30500.0,C36,1,0,0,0,1,0,990007092019
1999.0,22000.0,C230,0,0,0,0,1,0,880004262019
2014.0,14000.0,C63,1,0,1,0,0,0,2800004032019
2000.0,35000.0,C280,0,0,0,0,1,0,770003292019
1998.0,22000.0,C43,1,0,0,0,1,0,850003072019
1995.0,33000.0,C36,1,0,0,0,1,0,1600003052019
1998.0,24000.0,C280,0,0,0,0,1,0,910002042019
2010.0,5000.0,C63,1,0,0,0,1,0,2950001172019
1995.0,33000.0,C36,1,0,0,0,1,0,1850009252018
2005.0,40000.0,C55,1,0,0,0,1,0,1777709042018
2005.0,37500.0,C55,1,0,0,0,1,0,975007192018
2008.0,30500.0,C63,1,0,0,0,1,0,2150006042018
1996.0,30500.0,C36,1,0,0,0,1,0,1625005292018
1998.0,22000.0,C43,1,0,0,0,1,0,1245002212018
2005.0,37500.0,C55,1,0,0,0,1,0,1050012222017
2006.0,46000.0,C350,0,0,0,0,1,1,850011092017
2005.0,37500.0,C55,1,0,0,0,1,0,1400009292017
1996.0,30500.0,C36,1,0,0,0,1,0,1000009152017
1995.0,33000.0,C36,1,0,0,0,1,0,1350008232017
1995.0,33000.0,C36,1,0,0,0,1,0,540008012017
1996.0,30500.0,C36,1,0,0,0,1,0,525007202017
1999.0,30500.0,C43,1,0,0,0,1,0,650007102017
2009.0,25000.0,C63,1,0,0,0,1,0,2600006262017
1999.0,30500.0,C43,1,0,0,0,1,0,820103142017
2009.0,30500.0,C300,0,0,0,0,1,1,1310009012016
