raw_title,raw_price,is_sold,auction_url
44k-Mile 2013 Mercedes-Benz C63 AMG P31 Development Package,35000,True,https://bringatrailer.com/listing/2013-mercedes-benz-c63-amg-51/
2003 Mercedes-Benz C320 Sport Wagon 6-Speed,9300,True,https://bringatrailer.com/listing/2003-mercedes-benz-c320-sport-wagon-4/
"4,200-Mile 2012 Mercedes-Benz C63 AMG Coupe",45000,True,https://bringatrailer.com/listing/2012-mercedes-benz-c63-amg-91/
2004 Mercedes-Benz C240 Wagon,3800,True,https://bringatrailer.com/listing/2004-mercedes-benz-c240-wagon-8/
2023 Mercedes-AMG C63 S Coupe Final Edition,87000,True,https://bringatrailer.com/listing/2023-mercedes-amg-c63-s-5/
42k-Mile 2015 Mercedes-Benz C300 Sedan,10850,True,https://bringatrailer.com/listing/2015-mercedes-benz-c300-sedan-4/
46k-Mile 2012 Mercedes-Benz C350 Coupe,10250,True,https://bringatrailer.com/listing/2012-mercedes-benz-c350-coupe-2/
2012 Mercedes-Benz C63 AMG Coupe P31 Development Package,30000,True,https://bringatrailer.com/listing/2012-mercedes-benz-c63-amg-86/
1998 Mercedes-Benz C280,5775,True,https://bringatrailer.com/listing/1998-mercedes-benz-c280/
43k-Kilometer Japanese-Market 2010 Mercedes-Benz C63 AMG Wagon,34500,True,https://bringatrailer.com/listing/2010-mercedes-benz-c63-amg-21/
2005 Mercedes-Benz C55 AMG,13500,True,https://bringatrailer.com/listing/2005-mercedes-benz-cl55-amg-10/
2003 Mercedes-Benz C240 Sedan,3500,True,https://bringatrailer.com/listing/2003-mercedes-benz-c240-sedan-4/
2017 Mercedes-AMG C43 Sedan 4MATIC,19000,True,https://bringatrailer.com/listing/2017-mercedes-benz-c43-amg-sedan/
2012 Mercedes-Benz C250 Sport Sedan,6000,True,https://bringatrailer.com/listing/2012-mercedes-benz-c250-sport-sedan-3/
2012 Mercedes-Benz C350 Sport Sedan,8800,True,https://bringatrailer.com/listing/2012-mercedes-benz-c350-sport-sedan/
2004 Mercedes-Benz C240 Sedan,4350,True,https://bringatrailer.com/listing/2004-mercedes-benz-c240-sedan-6/
22k-Mile 1998 Mercedes-Benz C43 AMG,53000,True,https://bringatrailer.com/listing/1998-mercedes-benz-c43-amg-15-2/
42k-Mile 2000 Mercedes-Benz C230 Kompressor,11500,True,https://bringatrailer.com/listing/2000-mercedes-benz-c230-kompressor-16/
"3,900-Mile 2019 Mercedes-AMG C63 S Cabriolet",55500,True,https://bringatrailer.com/listing/2019-mercedes-amg-c63-s-cabriolet-5/
27k-Mile 2003 Mercedes-Benz C240 Sedan,6000,True,https://bringatrailer.com/listing/2003-mercedes-benz-c240-sedan-5/
2017 Mercedes-Benz C300 Sedan,11750,True,https://bringatrailer.com/listing/2017-mercedes-benz-c300-sedan-3/
39k-Mile 2014 Mercedes-Benz C63 AMG Edition 507,39000,True,https://bringatrailer.com/listing/2014-mercedes-benz-c63-amg-54/
30k-Mile 2007 Mercedes-Benz C230 Sport Sedan,8300,True,https://bringatrailer.com/listing/2007-mercedes-benz-c230-sport-sedan-9/
2006 Mercedes-Benz C230 Sport Sedan,6338,True,https://bringatrailer.com/listing/2006-mercedes-benz-c230-sport-sedan-9/
One-Owner 1997 Mercedes-Benz C280,4000,True,https://bringatrailer.com/listing/1997-mercedes-benz-c280-4/
2003 Mercedes-Benz C32 AMG,5600,True,https://bringatrailer.com/listing/2003-mercedes-benz-c32-amg-24/
Japanese-Market 2009 Mercedes-Benz C63 AMG Wagon,16350,True,https://bringatrailer.com/listing/2009-mercedes-benz-c63-amg-51-2/
12k-Mile 2018 Mercedes-AMG C63 S Coupe,50000,True,https://bringatrailer.com/listing/2018-mercedes-amg-c63-s-coupe-7/
2012 Mercedes-Benz C250 Sport Sedan,6400,True,https://bringatrailer.com/listing/2012-mercedes-benz-c250-sport-sedan-2/
27k-Mile 1999 Mercedes-Benz C230 Kompressor,13111,True,https://bringatrailer.com/listing/1999-mercedes-benz-c230-kompressor-12/
2019 Mercedes-Benz C300 Sedan,20250,True,https://bringatrailer.com/listing/2019-mercedes-benz-c300-sedan/
31k-Mile 2015 Mercedes-Benz C350 Coupe 4MATIC,19250,True,https://bringatrailer.com/listing/2015-mercedes-benz-c350-coupe-2/
16k-Mile 2014 Mercedes-Benz C300 4MATIC Sport Sedan,16250,True,https://bringatrailer.com/listing/2014-mercedes-benz-c300-sport-sedan/
6k-Mile 2012 Mercedes-Benz C63 AMG Black Series,162000,True,https://bringatrailer.com/listing/2012-mercedes-benz-c63-amg-88/
2002 Mercedes-Benz C240 Sedan,6805,True,https://bringatrailer.com/listing/2002-mercedes-benz-c240-sedan-5/
41k-Mile 1999 Mercedes-Benz C280,9399,True,https://bringatrailer.com/listing/1999-mercedes-benz-c280-10/
